time,match_id,start_time,did_rad_win?
3955,5407593308,1589112055,true
3955,5084558821,1572004529,false
3955,5385666221,1588147543,true
3954,3942602805,1528564385,false
3954,4223835352,1542447968,true
3954,5155704307,1576404836,true
3954,4143846561,1538245161,true
3953,4378644503,1548956042,true
3952,3295598318,1499310934,true
3949,4444120972,1550722857,true
3949,4969927028,1565959861,false
3947,3477641113,1506885616,false
3947,3001504153,1487250706,false
3945,4968286496,1565873326,true
3944,5015704434,1568119320,false
3943,3387823366,1503152787,false
3943,5140532243,1575448095,false
3942,3443485217,1505394906,false
3938,3515111673,1508606118,false
3937,3587194294,1511867518,false
3937,3546409724,1509966061,true
3936,5133062655,1575016383,false
3936,5126555976,1574611872,false
3932,4885145985,1562329827,false
3931,5167759841,1577197655,false
3930,3817971955,1522952917,false
3929,5036082318,1569179509,false
3929,4169752792,1539587956,false
3928,5035228679,1569149185,false
3928,3812579458,1522661835,true
3928,4146773606,1538392048,false
3927,3179394686,1494785023,false
3927,3210624507,1496016542,true
3926,4970842578,1565997896,false
3925,4759424425,1558099955,true
3925,3042723687,1488981989,false
3921,2983671569,1486495335,false
3920,4969840755,1565956742,false
3919,3139633624,1493133804,true
3919,3865916945,1525444811,false
3919,3278548190,1498624310,true
3919,5404632474,1588975791,false
3918,4944731311,1564841696,true
3918,3529921888,1509286499,true
3918,5419163914,1589653820,false
3917,4553630956,1553083032,true
3917,3252443327,1497606004,true
3917,5122139667,1574356171,true
3916,5161861364,1576837002,true
3916,3001338560,1487245808,true
3916,3276432556,1498531260,true
3915,3091214026,1491048621,true
3912,4440052551,1550606484,false
3911,5445901566,1590916002,false
3909,5301841347,1584638804,true
3908,5045411646,1569705253,false
3906,3279352903,1498655150,true
3906,3242108571,1497201144,true
3906,4589977675,1553923460,true
3906,3469213616,1506521095,false
3906,4931871631,1564323676,true
3905,3170317392,1494449247,false
3904,4875118296,1561897338,false
3904,4194213788,1540880119,false
3903,5185798102,1578299512,true
3902,2996231157,1487006607,true
3900,3749918938,1519456640,false
3900,2911760634,1484260218,false
3899,5161669992,1576822382,false
3898,5069756067,1571084060,false
3897,3088114924,1490923639,true
3895,4634483127,1554854691,false
3895,2987661229,1486670171,true
3895,4814451028,1559744540,true
3892,3231644812,1496889045,false
3891,4197734405,1541072967,true
3889,3047016068,1489169930,false
3888,3580255486,1511553404,true
3888,5452764046,1591241980,true
3887,3277794775,1498581509,true
3885,3430761215,1504845587,false
3885,5378575663,1587831046,false
3884,5435632733,1590451685,true
3884,3852180476,1524765069,true
3884,3404755458,1503770379,true
3883,3926620234,1527847364,false
3883,3136151277,1492963812,false
3883,5008771456,1567775546,true
3881,4677066605,1555863238,false
3881,5422700513,1589806606,false
3881,5396065457,1588590047,true
3880,5213662397,1580127385,false
3879,5194234805,1578834806,false
3878,3907858129,1527009187,false
3878,4800864065,1559350991,true
3878,3682064889,1516086302,false
3877,3179586089,1494790511,true
3877,5476746876,1592499259,false
3876,4206368304,1541499212,false
3875,4904170694,1563142148,false
3874,5174639610,1577622441,false
3873,2872955806,1482749991,false
3872,3175484408,1494673053,false
3872,4193068152,1540814695,false
3871,3026049157,1488272495,false
3871,5119505888,1574175046,false
3870,4181818423,1540227195,false
3869,5132189419,1574953612,false
3867,4692532308,1556300599,false
3867,3115224809,1492070601,true
3866,5457427108,1591462809,true
3866,3175916756,1494684272,true
3866,4146219158,1538363535,false
3865,4090464505,1535636755,false
3865,3786085689,1521302717,false
3864,3070788533,1490187379,true
3862,2953035892,1485706555,false
3861,3354220626,1501802748,true
3859,5127263615,1574667335,true
3859,5080865746,1571754961,true
3859,3385697860,1503084857,true
3857,2914810665,1484390425,true
3856,5039260279,1569368337,true
3855,4808576569,1559564809,false
3853,3994534105,1531026563,true
3853,5393871503,1588498109,false
3853,3944463864,1528639872,true
3852,3570683785,1511084030,true
3851,5436148148,1590480002,true
3850,3096857628,1491277836,false
3850,4149397340,1538534007,true
3850,3023070116,1488128838,false
3850,4931888663,1564324652,true
3849,5369540558,1587451504,false
3848,2892880643,1483512599,false
3847,5331201578,1585908924,false
3847,5275410364,1583382765,true
3847,3382769584,1502974938,true
3846,4927730485,1564174194,true
3846,2973348752,1486205974,false
3846,3203870745,1495739368,false
3846,5091739635,1572429603,false
3845,5046351487,1569759224,true
3845,3101234151,1491472517,false
3844,5298256139,1584471556,true
3844,5076320605,1571493616,true
3843,5437235502,1590527353,true
3841,5460407404,1591614003,false
3840,4221129157,1542296785,true
3839,5272083956,1583205201,true
3838,3042573082,1488977880,false
3838,3530476308,1509308110,false
3837,5436759617,1590505787,true
3837,5422005965,1589771681,true
3836,3559457622,1510561583,true
3835,4697472041,1556436253,true
3834,3204001947,1495746273,false
3832,3278498607,1498621396,true
3832,5409389504,1589196722,false
3832,4155662549,1538844796,true
3831,5046478478,1569763238,false
3831,3310953373,1499952268,false
3829,3165923739,1494260996,false
3828,4424564363,1550237061,false
3825,4706725144,1556660446,false
3824,5432125468,1590291861,false
3822,3393507875,1503342700,false
3822,2940748308,1485462356,true
3821,3295931556,1499327350,false
3820,2947056821,1485597873,true
3820,5282727398,1583730096,false
3819,4215877889,1541996897,false
3819,3034690028,1488640155,false
3818,4177906445,1540041252,false
3817,3864638095,1525375386,true
3817,3567887404,1510969302,false
3815,4622355897,1554613280,true
3814,3111979411,1491915440,false
3814,4900403111,1562994303,false
3814,4947477477,1564938908,true
3812,4146502380,1538379426,true
3812,3924720119,1527760964,true
3811,3046511778,1489154668,false
3811,3230757012,1496844590,false
3810,2914758496,1484388770,false
3810,2950197847,1485655263,false
3809,4157102012,1538913114,false
3808,2927454818,1484918056,true
3808,3253659188,1497640498,false
3808,3019026119,1487988840,true
3807,5283527992,1583762282,false
3807,5087932211,1572182061,false
3805,3049311768,1489255038,true
3805,3108244713,1491742679,false
3803,5135214870,1575123424,true
3803,5456763854,1591441166,false
3803,3779971785,1521002655,true
3802,3492020253,1507540461,true
3802,3216697654,1496261339,true
3801,4488795313,1551641934,true
3801,4319884149,1546872306,false
3801,5151408970,1576140610,true
3800,3097027819,1491285612,true
3800,4258066517,1544131902,false
3799,3117159487,1492157284,true
3799,4984943121,1566663791,true
3798,4175618789,1539934288,false
3797,5442830628,1590785464,false
3795,4185827804,1540468637,false
3794,5221038451,1580548879,true
3794,3919531991,1527518855,false
3792,3574090220,1511254919,false
3792,5171871050,1577462196,false
3792,4179307666,1540107133,true
3792,5282679506,1583726834,true
3790,4165985310,1539408036,true
3789,3521803363,1508925746,true
3789,3623335987,1513481384,false
3789,5076279739,1571492342,true
3789,3354297698,1501808911,true
3788,4738815036,1557498745,true
3787,3277576403,1498574477,false
3786,3101312409,1491475478,false
3785,5045204118,1569692304,false
3784,3349325365,1501578335,false
3784,3127376405,1492596573,true
3783,5283465839,1583761808,false
3781,5407412594,1589105198,true
3780,5147923575,1575893912,false
3777,4023825678,1532527403,false
3775,3112156534,1491920495,false
3774,5433686528,1590354303,false
3774,3644425604,1514375925,false
3773,4345534290,1547909016,false
3772,4234525192,1542963553,true
3770,2964687795,1485983642,false
3770,3274904857,1498467978,false
3769,3905040724,1526897379,false
3768,3640302701,1514194490,true
3768,3158353798,1493978853,true
3768,5025200422,1568607777,true
3767,4178376831,1540055755,true
3766,3609079759,1512875834,true
3764,5028394072,1568797761,true
3764,4234994454,1542980833,true
3764,4817760804,1559848798,false
3763,3179532280,1494788871,false
3762,2848682994,1481824767,true
3762,3163783659,1494176316,true
3761,5444690645,1590858191,false
3761,3877895073,1525900159,true
3760,3556410437,1510423088,true
3759,5422155210,1589782139,true
3758,4257703079,1544113111,false
3758,3129747936,1492702428,false
3758,5133837770,1575049934,false
3758,5391834880,1588414107,false
3758,3474990075,1506784360,false
3756,4938124388,1564579749,true
3754,3799024763,1521958143,true
3754,4275624587,1545050853,true
3752,4172942957,1539774246,true
3752,3523779668,1509020351,false
3751,3080691275,1490595599,true
3749,5184545476,1578221731,true
3748,4130911304,1537606771,false
3747,5181336156,1578040187,true
3745,2851663125,1481942089,false
3745,3185054864,1494957687,false
3745,4251146490,1543760760,false
3745,4146605414,1538384187,false
3745,5405361829,1589018552,true
3743,4399219621,1549546890,false
3741,4182466550,1540276027,true
3739,5443552159,1590825790,false
3737,3275790914,1498495782,true
3737,4819731642,1559914778,true
3736,4774451065,1558534215,true
3736,5044843274,1569679462,false
3734,5105208726,1573269827,false
3733,3159727451,1494037770,false
3733,4931007189,1564301023,false
3729,3195675077,1495375910,false
3729,3485041260,1507236585,true
3728,4161937712,1539176837,true
3728,5306883684,1584863741,false
3728,5301100902,1584614947,false
3726,4957353371,1565377940,false
3725,5198366053,1579118642,false
3724,3362526195,1502155223,true
3723,3475556676,1506804585,false
3723,3068798201,1490097653,true
3722,3083107298,1490700316,true
3722,3018201173,1487951998,true
3722,5118192811,1574085557,false
3722,3201574801,1495638698,true
3722,3559450483,1510561220,false
3722,4805933087,1559481306,true
3721,5413278942,1589382300,true
3720,3791632341,1521573376,true
3720,3880030607,1525977733,false
3719,4930387223,1564278597,true
3717,3533903005,1509469361,true
3717,4877794046,1561999114,true
3716,5455152028,1591363556,true
3716,3190377823,1495181885,false
3715,5135601130,1575137512,false
3715,5129363731,1574795110,false
3714,3555540792,1510397811,true
3714,3275689511,1498492310,true
3714,4183481119,1540323489,false
3713,3841697193,1524216566,true
3713,5476266128,1592476766,false
3712,5382310453,1587992762,false
3711,4661740210,1555503789,false
3711,4906810287,1563277540,true
3711,5405200776,1589011402,false
3710,5174397179,1577611643,false
3707,5232019340,1581137377,true
3707,3506003319,1508177303,true
3707,4912193975,1563539470,true
3706,3266368590,1498135099,true
3705,4843557083,1560686647,false
3705,3062392851,1489838185,true
3704,2931061081,1485058864,false
3703,3204074728,1495752052,false
3703,3941829337,1528539873,true
3703,5130085640,1574843917,true
3702,5033681560,1569076272,true
3702,4634839063,1554869382,true
3702,2987524070,1486664036,true
3700,5096714996,1572721072,false
3700,4695437388,1556374579,false
3700,3059090685,1489693124,false
3700,4826595632,1560103753,true
3700,3053707349,1489434784,true
3700,5010421238,1567855669,true
3699,3020787266,1488043128,true
3698,3209586889,1495976000,true
3698,4189791403,1540650720,true
3698,3250945491,1497538759,true
3697,5144697968,1575707832,true
3694,3363973439,1502214081,true
3694,2937788528,1485346138,false
3694,2846634843,1481749495,true
3694,3045498557,1489116112,true
3693,5458358369,1591513676,false
3693,3213598630,1496137878,false
3693,3165602911,1494252026,true
3693,4151238744,1538633665,true
3690,4010948768,1531856330,true
3690,4142269903,1538175586,false
3690,5436324537,1590488126,false
3689,5429518804,1590162426,true
3688,2973982634,1486217351,true
3687,3276585443,1498540089,false
3686,3296585168,1499348843,false
3686,5096608406,1572715891,true
3686,5318780410,1585387794,true
3685,5015403919,1568104817,true
3685,4280678027,1545314226,true
3685,5097028754,1572744595,false
3684,3489830543,1507442553,false
3684,3170477211,1494461791,true
3684,3052038137,1489359945,false
3684,5380279351,1587905940,false
3683,4805064469,1559463951,false
3682,3167659742,1494337194,true
3682,2932601801,1485107876,true
3682,4031325290,1532875307,false
3681,3905384136,1526907992,true
3680,4699346643,1556468470,true
3680,3283206180,1498820805,true
3680,5358800189,1587020431,true
3679,5171983129,1577467367,true
3679,2912047092,1484281510,true
3679,4166915737,1539442838,false
3679,5167193361,1577165524,true
3678,5131645502,1574929802,false
3677,5173406769,1577549098,true
3677,5163944340,1576953106,false
3677,5167204405,1577166301,false
3676,2883218922,1483134101,true
3676,5136941367,1575208420,true
3675,4769747828,1558378086,true
3675,5152648536,1576227991,false
3675,2913055420,1484318181,true
3674,5413055671,1589375484,true
3674,5418227202,1589623467,true
3674,4216887498,1542046091,true
3673,4932953178,1564375497,false
3672,5203951632,1579492707,false
3672,4446260366,1550762170,false
3672,4783519017,1558802080,true
3670,3346052901,1501425486,false
3669,4495644624,1551791804,true
3669,5131797398,1574938611,false
3669,3510546631,1508413243,false
3668,4632231334,1554807609,false
3668,3563273489,1510750105,true
3668,4095639186,1535861491,false
3668,2969952642,1486122329,true
3667,3126015360,1492525996,false
3667,3278675143,1498630701,false
3665,3263237743,1498004853,true
3665,5086492638,1572104346,false
3665,4051250680,1533827329,false
3664,3037185451,1488730115,true
3664,5446579683,1590937328,true
3664,2845135861,1481707555,false
3663,3165901254,1494260269,true
3663,3277799119,1498581666,true
3661,3117431107,1492167851,false
3661,3127498932,1492601377,true
3661,3266084588,1498126191,true
3661,3125864202,1492521616,true
3661,5469791555,1592107852,false
3660,4917077826,1563728920,false
3660,4719728146,1556977538,true
3659,3916972828,1527412616,false
3659,3288502719,1499008480,true
3658,3444185690,1505422209,false
3658,4020825624,1532362567,false
3657,3475749211,1506816966,true
3657,5307435090,1584882094,true
3657,3300328913,1499508772,true
3656,4453528319,1550933701,false
3656,3278458756,1498618923,false
3656,2910854001,1484225334,true
3656,3279048358,1498645425,false
3656,3843726538,1524313604,false
3655,3176111184,1494689197,false
3655,2852293444,1481964029,true
3655,3982411748,1530421556,true
3654,3505291077,1508152387,true
3654,3103350363,1491564503,false
3653,5110245949,1573571782,true
3653,4192828954,1540803829,false
3651,5422109927,1589779092,true
3651,5412915589,1589370687,false
3651,5439451716,1590639154,false
3651,4143499030,1538233023,false
3651,5369744367,1587461049,true
3650,4575677389,1553582035,true
3650,4927726799,1564173966,false
3650,3944571593,1528643145,false
3649,5403264689,1588922410,false
3649,5464092678,1591804046,false
3649,3167201527,1494324071,true
3649,2927129993,1484907723,false
